fdc_id,source,version,url,description,display_name,preparation,aliases,kcal,protein_g,fat_g,carbs_g,energy_nutrient_id
174070,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174070/nutrients,"Sauce, peanut, made from peanut butter, water, soy sauce","Sauce, peanut, made from peanut butter, water, soy sauce",,,257,6.31,16.02,22.02,1008
171604,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171604/nutrients,"Sauce, peppers, hot, chili, mature red, canned","Sauce, peppers, hot, chili, mature red, canned",canned,,21,0.9,0.6,3.9,1008
171581,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171581/nutrients,"Sauce, pesto, BUITONI, pesto with basil, ready-to-serve, refrigerated","Sauce, pesto, BUITONI, pesto with basil, ready-to-serve, refrigerated",,,418,9.83,37.6,10.09,1008
171582,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171582/nutrients,"Sauce, pesto, CLASSICO, basil pesto, ready-to-serve","Sauce, pesto, CLASSICO, basil pesto, ready-to-serve",,,372,4.16,36.38,6.93,1008
171185,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171185/nutrients,"Sauce, pesto, MEZZETTA, NAPA VALLEY BISTRO, basil pesto, ready-to-serve","Sauce, pesto, MEZZETTA, NAPA VALLEY BISTRO, basil pesto, ready-to-serve",,,496,6.69,49.88,5.12,1008
171579,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171579/nutrients,"Sauce, pesto, ready-to-serve, refrigerated","Sauce, pesto, ready-to-serve, refrigerated",,,418,9.83,37.6,10.09,1008
171580,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171580/nutrients,"Sauce, pesto, ready-to-serve, shelf stable","Sauce, pesto, ready-to-serve, shelf stable",,,426,5,42.42,6.14,1008
172880,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/172880/nutrients,"Sauce, pizza, canned, ready-to-serve","Sauce, pizza, canned, ready-to-serve",canned,,54,2.18,1.15,8.66,1008
172879,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/172879/nutrients,"Sauce, plum, ready-to-serve","Sauce, plum, ready-to-serve",,,184,0.89,1.04,42.81,1008
174527,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174527/nutrients,"Sauce, ready-to-serve, pepper or hot","Sauce, ready-to-serve, pepper or hot",,,11,0.51,0.37,1.75,1008
174528,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174528/nutrients,"Sauce, ready-to-serve, pepper, TABASCO","Sauce, ready-to-serve, pepper, TABASCO",,,12,1.29,0.76,0.8,1008
174524,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/174524/nutrients,"Sauce, salsa, ready-to-serve","Sauce, salsa, ready-to-serve",,,29,1.52,0.17,6.64,1008
171824,USDA FoodData Central SR Legacy,2018-04,https://fdc.nal.usda.gov/food-details/171824/nutrients,"Sauce, salsa, verde, ready-to-serve","Sauce, salsa, verde, ready-to-serve",,,38,1.13,0.89,6.36,1008
